City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Arraial Do Cabo,BR,2022-05-05 02:32:58,-22.9661,-42.0278,75.16,87,87,8.41
67,Sitka,US,2022-05-05 02:36:53,57.0531,-135.33,44.49,70,100,9.22
68,Mahebourg,MU,2022-05-05 02:32:47,-20.4081,57.7,77.29,83,40,16.11
69,Saint-Philippe,RE,2022-05-05 02:34:09,-21.3585,55.7679,74.79,86,41,14.7
70,Nenjiang,CN,2022-05-05 02:36:54,49.1833,125.2167,48.38,79,100,14.25
71,Dunedin,NZ,2022-05-05 02:36:47,-45.8742,170.5036,59.81,72,11,5.99
72,Faya,SA,2022-05-05 02:36:55,18.3851,42.4509,62.71,59,5,1.97
73,Vilyuysk,RU,2022-05-05 02:36:55,63.7553,121.6247,34.36,79,100,7.92
74,Homer,US,2022-05-05 02:30:09,59.6425,-151.5483,48.78,77,20,6.91
75,Vao,NC,2022-05-05 02:32:54,-22.6667,167.4833,75.56,76,19,14.58
76,Ancud,CL,2022-05-05 02:32:41,-41.8697,-73.8203,53.6,98,100,6.31
77,Pingliang,CN,2022-05-05 02:36:57,35.5392,106.6861,78.06,28,0,3.85
78,Puerto Ayora,EC,2022-05-05 02:32:36,-0.7393,-90.3518,73.38,91,44,4.12
79,Saint George,US,2022-05-05 02:36:57,37.1041,-113.5841,73.99,23,0,14.97
80,Coquimbo,CL,2022-05-05 02:32:20,-29.9533,-71.3436,53.33,93,0,1.14
81,Busselton,AU,2022-05-05 02:34:06,-33.65,115.3333,61.74,44,0,15.66
82,Chuy,UY,2022-05-05 02:34:08,-33.6971,-53.4616,55.42,82,0,3.02
83,Kemin,KG,2022-05-05 02:36:59,42.7846,75.6892,57.85,81,100,1.83
84,Ekibastuz,KZ,2022-05-05 02:37:00,51.6667,75.3667,54.61,31,49,7.65
85,Sinop,TR,2022-05-05 02:32:41,41.7711,34.8709,44.31,93,100,5.95
86,Nago,JP,2022-05-05 02:37:00,26.5881,127.9761,74.25,94,100,13.06
87,Grindavik,IS,2022-05-05 02:37:01,63.8424,-22.4338,36.07,64,0,1.14
88,Kruisfontein,ZA,2022-05-05 02:33:59,-34.0033,24.7314,58.89,88,70,4.16
89,Livramento,BR,2022-05-05 02:37:02,-3.0254,-60.1803,75.87,100,40,1.14
90,Madang,PG,2022-05-05 02:37:03,-5.2246,145.7966,83.12,84,33,3.98
91,Vila Franca Do Campo,PT,2022-05-05 02:37:03,37.7167,-25.4333,63.01,78,100,7.31
92,Margate,GB,2022-05-05 02:29:04,51.3813,1.3862,51.87,88,10,4.0
93,Caravelas,BR,2022-05-05 02:38:04,-17.7125,-39.2481,78.03,87,1,10.16
94,Ternate,ID,2022-05-05 02:38:05,0.8,127.4,85.91,68,64,2.48
95,Aklavik,CA,2022-05-05 02:26:22,68.2191,-135.0107,30.38,83,100,12.62
96,Goderich,CA,2022-05-05 02:35:34,43.7501,-81.7165,40.91,87,20,6.91
97,Shache,CN,2022-05-05 02:38:06,38.4167,77.2406,77.67,22,100,4.83
98,Ayan,RU,2022-05-05 02:38:07,56.45,138.1667,30.99,98,100,3.58
99,Davila,PH,2022-05-05 02:38:07,18.4726,120.5763,84.18,65,89,8.23
100,Bethel,US,2022-05-05 02:38:08,41.3712,-73.414,58.35,89,56,1.99
101,Dakar,SN,2022-05-05 02:38:08,14.6937,-17.4441,70.68,85,0,13.85
102,San Andres,CO,2022-05-05 02:38:09,12.5847,-81.7006,82.42,83,20,10.36
103,Cape Town,ZA,2022-05-05 02:38:09,-33.9258,18.4232,57.11,98,100,4.61
104,Bonthe,SL,2022-05-05 02:38:10,7.5264,-12.505,80.55,82,71,2.64
105,Nanortalik,GL,2022-05-05 02:38:10,60.1432,-45.2371,31.1,87,100,6.04
106,Male,MV,2022-05-05 02:38:11,4.1748,73.5089,85.95,79,75,12.66
107,Tuatapere,NZ,2022-05-05 02:38:11,-46.1333,167.6833,64.81,69,97,4.81
108,Vaini,TO,2022-05-05 02:38:12,-21.2,-175.2,78.96,78,40,5.75
109,Igarka,RU,2022-05-05 02:38:12,67.4667,86.5833,35.15,99,100,17.98
110,Provideniya,RU,2022-05-05 02:34:20,64.3833,-173.3,28.51,80,40,7.0
111,Pacific Grove,US,2022-05-05 02:38:13,36.6177,-121.9166,57.31,90,0,10.0
112,Chokurdakh,RU,2022-05-05 02:34:19,70.6333,147.9167,24.1,82,100,6.13
113,Samarai,PG,2022-05-05 02:38:14,-10.6167,150.6667,83.19,77,72,9.42
114,Alofi,NU,2022-05-05 02:38:15,-19.0595,-169.9187,80.49,74,26,8.05
115,Cuiluan,CN,2022-05-05 02:38:15,47.72,128.648,75.02,31,100,13.51
116,Hithadhoo,MV,2022-05-05 02:38:16,-0.6,73.0833,83.17,74,100,19.04
117,Abu Dhabi,AE,2022-05-05 02:38:17,24.4667,54.3667,77.02,76,0,3.44
118,Krasnoarmeysk,RU,2022-05-05 02:38:17,51.0239,45.6969,45.07,86,81,15.97
119,Junin,AR,2022-05-05 02:38:18,-34.5838,-60.9433,51.39,59,76,8.23
120,Codrington,AU,2022-05-05 02:38:18,-38.2667,141.9667,54.95,59,94,8.9
121,Tingi,TZ,2022-05-05 02:38:19,-11.3,35.0333,57.45,91,37,2.75
122,Anadyr,RU,2022-05-05 02:31:01,64.75,177.4833,32.5,74,0,4.47
123,Forbes,AU,2022-05-05 02:38:19,-33.3833,148.0167,57.2,51,88,7.94
124,Rocha,UY,2022-05-05 02:38:20,-34.4833,-54.3333,51.58,93,0,4.76
125,Bathsheba,BB,2022-05-05 02:38:21,13.2167,-59.5167,79.41,83,40,14.97
126,Zabaykalsk,RU,2022-05-05 02:38:21,49.6333,117.3167,48.29,28,100,23.78
127,Salalah,OM,2022-05-05 02:38:22,17.0151,54.0924,82.49,65,20,5.75
128,Finnsnes,NO,2022-05-05 02:38:22,69.2296,17.9811,18.21,75,100,6.02
129,Bay Roberts,CA,2022-05-05 02:38:23,47.5999,-53.2648,41.65,87,100,4.0
130,Mweka,CD,2022-05-05 02:38:23,-4.85,21.5667,68.83,88,74,2.04
131,Villazon,BO,2022-05-05 02:38:24,-22.0866,-65.5942,44.82,39,0,4.05
132,Ulladulla,AU,2022-05-05 02:38:25,-35.35,150.4667,69.76,81,73,6.46
133,Zeya,RU,2022-05-05 02:38:25,53.75,127.2667,51.85,31,100,6.11
134,Kashi,CN,2022-05-05 02:38:26,39.4547,75.9797,74.41,27,75,13.42
135,Otane,NZ,2022-05-05 02:38:26,-39.8833,176.6333,63.01,67,8,7.14
136,Okakarara,NA,2022-05-05 02:38:30,-20.5833,17.4333,47.89,53,0,3.98
137,Gambela,ET,2022-05-05 02:38:31,8.25,34.5833,74.41,83,98,3.49
138,Oktyabrskoye,RU,2022-05-05 02:30:23,43.0645,44.7417,48.34,100,95,0.0
139,General Pico,AR,2022-05-05 02:35:45,-35.6566,-63.7568,56.57,49,100,10.69
140,Atuona,PF,2022-05-05 02:32:11,-9.8,-139.0333,79.2,74,13,15.39
141,Puntarenas,CR,2022-05-05 02:39:36,9.9763,-84.8384,77.86,90,100,6.11
142,Airai,TL,2022-05-05 02:39:37,-8.9266,125.4092,74.82,58,100,4.32
143,Barrow,US,2022-05-05 02:36:25,71.2906,-156.7887,15.82,79,100,14.97
144,Vestmanna,FO,2022-05-05 02:39:38,62.1564,-7.1664,41.92,70,100,5.75
145,Zhigansk,RU,2022-05-05 02:39:38,66.7697,123.3711,26.53,75,20,10.65
146,Ouallam,NE,2022-05-05 02:39:39,14.3188,2.0866,84.79,14,81,2.19
147,Lagoa,PT,2022-05-05 02:30:21,39.05,-27.9833,61.12,86,100,20.45
148,Macklin,CA,2022-05-05 02:39:40,52.3334,-109.9348,68.34,48,100,1.21
149,Kilifi,KE,2022-05-05 02:39:41,-3.6305,39.8499,77.22,82,99,15.32
150,Kahului,US,2022-05-05 02:32:48,20.8947,-156.47,82.42,68,40,27.63
151,Mount Gambier,AU,2022-05-05 02:39:41,-37.8333,140.7667,46.31,93,100,6.91
152,Cabo San Lucas,MX,2022-05-05 02:38:29,22.8909,-109.9124,76.3,68,0,11.5
153,Luganville,VU,2022-05-05 02:39:42,-15.5333,167.1667,83.91,74,18,5.32
154,Lebu,CL,2022-05-05 02:34:18,-37.6167,-73.65,53.8,96,49,9.53
155,Saskylakh,RU,2022-05-05 02:32:48,71.9167,114.0833,28.58,89,94,7.54
156,Kirkenaer,NO,2022-05-05 02:39:44,60.4564,12.0582,35.42,97,18,3.8
157,San Cristobal,VE,2022-05-05 02:39:44,7.7669,-72.225,75.38,82,100,2.1
158,Bouna,CI,2022-05-05 02:39:45,9.2667,-3.0,79.59,68,100,9.69
159,Gao,ML,2022-05-05 02:39:49,16.6362,1.637,85.51,9,59,11.77
160,Kodiak,US,2022-05-05 02:39:49,57.79,-152.4072,42.31,81,100,8.05
161,Udachnyy,RU,2022-05-05 02:39:50,66.4167,112.4,32.45,46,95,14.52
162,Wagar,SD,2022-05-05 02:39:53,16.1525,36.2032,88.05,28,10,10.27
163,Hervey Bay,AU,2022-05-05 02:39:54,-25.2986,152.8535,74.79,77,14,6.42
164,Aden,YE,2022-05-05 02:39:54,12.7794,45.0367,84.02,69,1,1.41
165,Touros,BR,2022-05-05 02:37:13,-5.1989,-35.4608,76.17,93,91,10.94
166,Lithakia,GR,2022-05-05 02:37:11,37.7167,20.8333,51.17,87,20,0.0
167,Kimbe,PG,2022-05-05 02:39:55,-5.5502,150.1429,86.2,73,48,3.44
168,Kawalu,ID,2022-05-05 02:39:56,-7.3817,108.2082,83.68,70,64,3.67
169,Coihaique,CL,2022-05-05 02:30:35,-45.5752,-72.0662,48.15,57,75,4.61
170,Matagalpa,NI,2022-05-05 02:35:18,12.9256,-85.9175,70.97,89,96,4.05
171,Morehead,US,2022-05-05 02:39:58,37.2711,-87.1764,55.99,87,0,0.0
172,Palu,ID,2022-05-05 02:39:59,-0.8917,119.8707,89.8,62,91,3.47
173,Gigmoto,PH,2022-05-05 02:39:59,13.7796,124.39,86.27,67,17,9.6
174,Upernavik,GL,2022-05-05 02:34:06,72.7868,-56.1549,1.83,93,9,5.99
175,Domoni,KM,2022-05-05 02:40:00,-12.2569,44.5319,79.39,77,100,9.46
176,Vila,PT,2022-05-05 02:40:01,42.0304,-8.1588,45.48,88,45,4.21
177,Shimoda,JP,2022-05-05 02:30:16,34.6667,138.95,73.11,62,100,8.88
178,Charters Towers,AU,2022-05-05 02:40:02,-20.1,146.2667,84.76,44,0,2.62
179,Mahon,ES,2022-05-05 02:40:02,39.8885,4.2658,61.36,77,0,21.85
180,Beringovskiy,RU,2022-05-05 02:36:36,63.05,179.3167,28.53,76,53,9.64
181,Phan Thiet,VN,2022-05-05 02:38:23,10.9333,108.1,86.25,68,47,7.81
182,Narsaq,GL,2022-05-05 02:40:04,60.9167,-46.05,35.82,49,100,5.44
183,Tucuman,AR,2022-05-05 02:40:05,-26.8241,-65.2226,53.6,87,0,9.22
184,Podgorica,ME,2022-05-05 02:40:05,42.4411,19.2636,51.58,82,0,2.3
185,Rocky Mountain House,CA,2022-05-05 02:41:06,52.3668,-114.9188,62.71,34,77,4.61
186,Sao Joao Da Barra,BR,2022-05-05 02:41:07,-21.6403,-41.0511,76.41,87,73,15.52
187,Tautira,PF,2022-05-05 02:41:07,-17.7333,-149.15,81.36,79,42,12.5
188,Vardo,NO,2022-05-05 02:34:04,70.3705,31.1107,27.46,69,87,9.28
189,Port Elizabeth,ZA,2022-05-05 02:30:49,-33.918,25.5701,61.11,100,75,5.75
190,Qaanaaq,GL,2022-05-05 02:41:08,77.484,-69.3632,16.81,93,100,4.41
191,Mudigere,IN,2022-05-05 02:37:18,13.1333,75.6333,73.44,82,95,2.1
192,Halifax,CA,2022-05-05 02:41:05,44.6453,-63.5724,42.69,96,100,4.61
193,Cap Malheureux,MU,2022-05-05 02:41:09,-19.9842,57.6142,78.48,76,27,10.0
194,Kingaroy,AU,2022-05-05 02:41:10,-26.5333,151.8333,75.24,64,75,8.05
195,Mana,GF,2022-05-05 02:41:10,5.6592,-53.7767,75.54,91,100,3.18
196,Isangel,VU,2022-05-05 02:41:11,-19.55,169.2667,81.01,71,7,7.67
197,Whitianga,NZ,2022-05-05 02:37:45,-36.8333,175.7,65.53,68,25,11.83
198,San Ignacio,BZ,2022-05-05 02:41:12,17.1561,-89.0714,84.34,74,40,6.91
199,Gweta,BW,2022-05-05 02:41:12,-20.1833,25.2333,62.26,53,0,7.83
200,Tiksi,RU,2022-05-05 02:41:13,71.6872,128.8694,18.54,90,100,4.16
201,Mocuba,MZ,2022-05-05 02:41:13,-16.8392,36.9856,64.31,98,63,3.85
202,Havoysund,NO,2022-05-05 02:41:14,70.9963,24.6622,25.03,81,76,7.11
203,Norman Wells,CA,2022-05-05 02:32:38,65.282,-126.8329,37.44,87,75,11.5
204,Catumbela,AO,2022-05-05 02:41:15,-12.4314,13.5472,75.54,64,8,3.49
205,Itarema,BR,2022-05-05 02:41:16,-2.9248,-39.9167,76.77,89,100,9.01
206,Luderitz,NA,2022-05-05 02:41:16,-26.6481,15.1594,68.22,46,0,3.98
207,San Felipe,VE,2022-05-05 02:41:17,10.3399,-68.7425,73.76,92,100,5.35
208,Warrington,GB,2022-05-05 02:40:43,53.3925,-2.5802,51.33,88,75,5.75
209,Tahoua,NE,2022-05-05 02:41:18,14.8888,5.2692,84.45,19,100,3.87
210,Mar Del Plata,AR,2022-05-05 02:32:38,-38.0023,-57.5575,55.87,72,0,13.8
211,Natal,BR,2022-05-05 02:41:19,-5.795,-35.2094,79.02,94,40,5.75
212,Nemuro,JP,2022-05-05 02:41:21,43.3236,145.575,39.81,79,8,10.16
213,Hami,CN,2022-05-05 02:41:21,42.8,93.45,83.16,19,100,8.61
214,Sembe,CG,2022-05-05 02:41:22,1.6481,14.5806,70.99,94,26,1.99
215,Bahia Blanca,AR,2022-05-05 02:41:23,-38.7196,-62.2724,63.16,44,100,15.5
216,Clyde River,CA,2022-05-05 02:41:24,70.4692,-68.5914,23.23,74,100,9.22
217,Santa Maria,BR,2022-05-05 02:39:22,-29.6842,-53.8069,61.9,88,75,2.3
218,Fortuna Foothills,US,2022-05-05 02:41:25,32.6578,-114.4119,89.69,9,0,10.36
219,Yambio,SS,2022-05-05 02:41:26,4.5721,28.3955,66.49,99,100,4.05
220,Naryan-Mar,RU,2022-05-05 02:34:12,67.6713,53.087,17.55,96,81,4.21
221,Kargasok,RU,2022-05-05 02:38:04,59.0556,80.8572,49.44,46,100,11.65
222,Emba,KZ,2022-05-05 02:41:31,48.8264,58.1442,51.67,65,5,8.03
223,Biguacu,BR,2022-05-05 02:41:32,-27.4942,-48.6556,67.28,94,99,6.78
224,Maragogi,BR,2022-05-05 02:41:32,-9.0122,-35.2225,77.05,88,36,7.54
225,Kananga,CD,2022-05-05 02:41:33,-5.8958,22.4178,68.68,87,23,3.78
